area_name,salary_in_rub
Артемовский,34383.07978723404
Кизляр,34409.82352941176
Шымкент,34424.477443883916
Беслан,34437.77777777778
Восточно-Сибирский округ,34441.728425925925
Красные Четаи,34472.22222222222
Мокроус,34500.0
Шаран,34500.0
Скопин,34507.032552083336
Серафимович,34512.96296296296
Кохма,34519.49152542373
Темников,34537.19512195122
Похвистнево,34545.64705882353
Ганцевичи,34550.788
Бешенковичи,34550.788
Чериков,34550.788
Октябрьский (Гомельская область),34550.788
Россоны,34550.788
Краснополье (Могилевская область),34550.788
Лельчицы,34550.788
Берестовица,34550.788
Чернигов,34556.45354057184
Нижние Серги,34578.380281690144
Новочернореченский,34583.333333333336
Червоноград,34589.002717391304
Ряжск,34589.86693548387
Щучье,34600.520833333336
Ессентукская,34621.21212121212
Апастово,34631.25
Дрогичин,34634.54285714286
Архангельская,34642.857142857145
Хворостянка (Самарская область),34678.57142857143
Ивановская,34686.0
Симеиз,34700.0
Заозерск,34701.0025
Красноармейское,34722.22222222222
Зимовники,34729.74
свх Масловский,34750.0
Рубежное,34750.09090909091
Благодарный,34751.2987012987
Александровское (Ставропольский край),34770.833333333336
Туркестан,34817.918085201796
Шумилино,34818.159999999996
Докшицы,34818.159999999996
Свислочь,34818.159999999996
Ушачи,34818.159999999996
Лиозно,34818.159999999996
Новый Рогачик,34833.333333333336
Визинга,34833.333333333336
Шахтинск,34842.620299999995
Стародеревянковская,34859.5
Тинчлик,34874.9775
Куженер,34892.307692307695
Красная Яруга,34916.666666666664
Риддер (ВКО),34922.76155777174
Малмыж,34927.12943262411
Хасавюрт,34930.61440677966
Шалинское,34950.0
Пономарёвка,34964.28571428572
Ладожская,34968.181818181816
Чаусы,34971.815
Курагино,34980.0
Старая Станица,35000.0
Высокий (Мурманская область),35000.0
Ореанда,35000.0
Молодёжный,35000.0
Оренбургская область,35000.0
Новый Егорлык,35000.0
Яковлево,35000.0
Лесколово,35000.0
Бриньковская,35000.0
Таврово,35000.0
Большие Тарханы,35000.0
Астара,35000.0
Кротовка,35000.0
